Date,Open,High,Low,Close,Adj Close,Volume
2007-01-12,99.879997,99.930000,99.849998,99.930000,75.200974,1500
2007-01-16,99.830002,99.830002,99.830002,99.830002,75.125717,600
2007-01-17,99.940002,99.940002,99.809998,99.820000,75.118225,700
2007-01-18,99.839996,99.910004,99.839996,99.910004,75.185959,6200
2007-01-19,99.860001,99.860001,99.779999,99.800003,75.103157,2000
2007-01-22,99.900002,99.900002,99.849998,99.849998,75.140778,1200
2007-01-23,99.750000,99.750000,99.709999,99.709999,75.035439,1200
2007-01-24,99.750000,99.750000,99.750000,99.750000,75.065514,1300
2007-01-25,99.660004,99.660004,99.550003,99.550003,74.915016,2100
2007-01-26,99.529999,99.559998,99.480003,99.559998,74.922546,1200
2007-01-29,99.599998,99.610001,99.500000,99.529999,74.899948,3100
2007-01-30,99.610001,99.610001,99.580002,99.580002,74.937553,400
2007-01-31,99.669998,99.839996,99.669998,99.839996,75.133240,3600
2007-02-01,99.739998,99.739998,99.519997,99.529999,75.085709,1600
2007-02-02,99.550003,99.660004,99.550003,99.580002,75.123451,6800
2007-02-05,99.709999,99.709999,99.709999,99.709999,75.221458,7100
2007-02-06,99.669998,99.879997,99.669998,99.879997,75.349800,6600
2007-02-07,99.949997,99.989998,99.940002,99.989998,75.432770,2200
2007-02-08,99.970001,100.029999,99.949997,100.029999,75.462868,7500
2007-02-09,99.809998,99.809998,99.809998,99.809998,75.296944,2000
2007-02-12,99.800003,99.860001,99.709999,99.730003,75.236603,5000
2007-02-13,99.800003,99.800003,99.690002,99.690002,75.206436,1900
2007-02-14,99.889999,100.129997,99.889999,100.120003,75.530846,16600
2007-02-15,100.239998,100.300003,100.220001,100.269997,75.644005,9900
2007-02-16,100.290001,100.290001,100.260002,100.279999,75.651535,16300
2007-02-20,100.239998,100.320000,100.239998,100.269997,75.644005,5400
2007-02-21,100.300003,100.360001,100.300003,100.360001,75.711891,1900
2007-02-22,100.209999,100.209999,100.209999,100.209999,75.598732,200
2007-02-23,100.230003,100.470001,100.230003,100.419998,75.757126,13300
2007-02-26,100.550003,100.620003,100.540001,100.589996,75.885376,1400
2007-02-27,100.830002,101.269997,100.830002,101.199997,76.345612,12300
2007-02-28,101.199997,101.199997,100.970001,101.019997,76.209816,126000
2007-03-01,100.820000,100.949997,100.680000,100.680000,76.224159,48700
2007-03-02,100.919998,100.959999,100.839996,100.959999,76.436188,13600
2007-03-05,101.099998,101.110001,100.959999,100.989998,76.458893,8500
2007-03-06,100.849998,101.010002,100.800003,100.889999,76.383171,10200
2007-03-07,100.900002,101.029999,100.900002,101.029999,76.489136,4600
2007-03-08,100.980003,101.050003,100.970001,101.050003,76.504272,3500
2007-03-09,100.620003,100.730003,100.620003,100.690002,76.231728,8400
2007-03-12,100.769997,100.900002,100.769997,100.870003,76.367989,8300
2007-03-13,101.089996,101.269997,101.050003,101.180000,76.602692,25200
2007-03-14,101.199997,101.300003,101.139999,101.160004,76.587570,5000
2007-03-15,101.129997,101.129997,101.050003,101.059998,76.511833,20500
2007-03-16,101.000000,101.099998,101.000000,101.080002,76.526985,9500
2007-03-19,100.900002,100.970001,100.889999,100.910004,76.398285,2000
2007-03-20,101.099998,101.110001,101.059998,101.070000,76.519402,10100
2007-03-21,101.070000,101.360001,100.989998,101.269997,76.670853,28000
2007-03-22,101.199997,101.199997,101.050003,101.080002,76.526985,4300
2007-03-23,101.180000,101.180000,100.980003,100.980003,76.451279,17400
2007-03-26,100.959999,101.250000,100.959999,101.110001,76.549736,8200
2007-03-27,101.059998,101.099998,101.029999,101.089996,76.534538,31500
2007-03-28,101.230003,101.300003,101.120003,101.120003,76.557343,2100
2007-03-29,101.000000,101.070000,101.000000,101.010002,76.473976,7100
2007-03-30,101.050003,101.150002,100.839996,101.000000,76.466400,27600
2007-04-02,100.730003,100.730003,100.540001,100.639999,76.469467,25100
2007-04-03,100.510002,100.660004,100.510002,100.550003,76.401093,8200
2007-04-04,100.779999,100.830002,100.589996,100.790001,76.583412,19400
2007-04-05,100.739998,100.739998,100.550003,100.620003,76.454239,3300
2007-04-09,100.099998,100.239998,100.099998,100.220001,76.150375,6900
2007-04-10,100.389999,100.389999,100.330002,100.349998,76.249138,5500
2007-04-11,100.459999,100.489998,100.279999,100.339996,76.241531,4800
2007-04-12,100.330002,100.370003,100.300003,100.320000,76.226303,3500
2007-04-13,100.339996,100.339996,100.129997,100.209999,76.142761,15200
2007-04-16,100.250000,100.330002,100.230003,100.279999,76.195961,3100
2007-04-17,100.449997,100.599998,100.449997,100.599998,76.439026,2200
2007-04-18,100.699997,100.769997,100.699997,100.750000,76.553001,6300
2007-04-19,100.849998,100.849998,100.650002,100.750000,76.553001,2800
2007-04-20,100.650002,100.750000,100.650002,100.720001,76.530296,3500
2007-04-23,100.709999,100.879997,100.709999,100.860001,76.636665,1900
2007-04-24,101.050003,101.050003,101.019997,101.029999,76.765816,1300
2007-04-25,100.940002,101.029999,100.910004,100.919998,76.682228,7100
2007-04-26,100.889999,100.889999,100.760002,100.760002,76.560669,6900
2007-04-27,100.769997,100.769997,100.699997,100.760002,76.560669,1700
2007-04-30,100.930000,101.059998,100.919998,101.059998,76.788597,8800
2007-05-01,100.779999,100.779999,100.550003,100.629997,76.744324,7600
2007-05-02,100.620003,100.620003,100.529999,100.589996,76.713860,28400
2007-05-03,100.489998,100.500000,100.389999,100.500000,76.645218,12900
2007-05-04,100.650002,100.669998,100.599998,100.650002,76.759666,64900
2007-05-07,100.519997,100.690002,100.519997,100.690002,76.790161,1500
2007-05-08,100.699997,100.760002,100.680000,100.709999,76.805405,8800
2007-05-09,100.699997,100.739998,100.470001,100.550003,76.683342,10300
2007-05-10,100.570000,100.650002,100.570000,100.650002,76.759666,12200
2007-05-11,100.830002,100.830002,100.580002,100.580002,76.706207,1400
2007-05-14,100.559998,100.559998,100.430000,100.430000,76.591843,8400
2007-05-15,100.500000,100.550003,100.360001,100.440002,76.599464,8300
2007-05-16,100.449997,100.519997,100.449997,100.510002,76.652855,4700
2007-05-17,100.349998,100.410004,100.260002,100.279999,76.477440,8800
2007-05-18,100.239998,100.260002,100.050003,100.099998,76.340187,3300
2007-05-21,100.050003,100.239998,100.050003,100.239998,76.446922,5300
2007-05-22,100.059998,100.150002,99.989998,99.989998,76.256256,9900
2007-05-23,100.129997,100.129997,99.970001,99.989998,76.256256,4000
2007-05-24,100.019997,100.040001,99.849998,100.029999,76.286766,11400
2007-05-25,99.959999,100.040001,99.919998,99.930000,76.210571,10600
2007-05-29,99.949997,99.949997,99.790001,99.839996,76.141876,10800
2007-05-30,100.050003,100.050003,99.839996,99.900002,76.187691,18600
2007-05-31,99.889999,99.910004,99.680000,99.809998,76.118996,9600
2007-06-01,99.050003,99.290001,99.019997,99.120003,75.883972,49100
2007-06-04,99.120003,99.250000,99.059998,99.250000,75.983498,6800
2007-06-05,99.089996,99.110001,98.930000,99.040001,75.822754,16600
2007-06-06,99.000000,99.199997,99.000000,99.199997,75.945244,27900
2007-06-07,98.820000,98.860001,98.739998,98.750000,75.600700,3000
2007-06-08,98.669998,98.790001,98.570000,98.750000,75.600700,6000
2007-06-11,98.660004,98.820000,98.660004,98.769997,75.616043,6200
2007-06-12,98.500000,98.550003,98.330002,98.349998,75.294495,8000
2007-06-13,98.400002,98.550003,98.330002,98.510002,75.417000,13200
2007-06-14,98.510002,98.580002,98.379997,98.470001,75.386345,3800
2007-06-15,98.550003,98.769997,98.550003,98.760002,75.608353,14800
2007-06-18,98.730003,98.849998,98.669998,98.830002,75.661949,9200
2007-06-19,98.980003,99.099998,98.940002,99.099998,75.868652,5200
2007-06-20,99.059998,99.059998,98.870003,98.959999,75.761459,74400
2007-06-21,98.980003,99.019997,98.839996,98.889999,75.707939,8900
2007-06-22,98.889999,99.129997,98.800003,99.099998,75.868652,8900
2007-06-25,99.330002,99.330002,99.199997,99.230003,75.968201,4200
2007-06-26,99.389999,99.389999,99.150002,99.279999,76.006485,6800
2007-06-27,99.519997,99.550003,99.379997,99.400002,76.098320,5000
2007-06-28,99.360001,99.379997,99.239998,99.260002,75.991127,3200
2007-06-29,99.320000,99.589996,99.300003,99.580002,76.236176,4000
2007-07-02,99.290001,99.360001,99.209999,99.330002,76.348335,11300
2007-07-03,99.320000,99.389999,99.180000,99.190002,76.240784,3700
2007-07-05,99.000000,99.019997,98.760002,98.779999,75.925583,4100
2007-07-06,98.699997,98.709999,98.529999,98.629997,75.810341,6200
2007-07-09,98.750000,98.779999,98.699997,98.730003,75.887215,5300
2007-07-10,99.120003,99.309998,99.080002,99.309998,76.332985,36200
2007-07-11,99.300003,99.379997,99.070000,99.070000,76.148537,6200
2007-07-12,99.150002,99.169998,98.919998,98.959999,76.063980,11200
2007-07-13,99.089996,99.089996,98.940002,99.040001,76.125450,3200
2007-07-16,99.080002,99.290001,99.040001,99.269997,76.302254,26400
2007-07-17,99.050003,99.269997,99.050003,99.190002,76.240784,6700
2007-07-18,99.250000,99.529999,99.250000,99.440002,76.432922,17900
2007-07-19,99.349998,99.410004,99.220001,99.400002,76.402176,13000
2007-07-20,99.570000,99.830002,99.570000,99.760002,76.678886,53700
2007-07-23,99.739998,99.809998,99.650002,99.760002,76.678886,123700
2007-07-24,99.839996,99.940002,99.820000,99.940002,76.817184,8800
2007-07-25,99.989998,100.099998,99.989998,100.029999,76.886383,26400
2007-07-26,100.449997,100.800003,100.449997,100.699997,77.401375,53700
2007-07-27,100.769997,100.900002,100.650002,100.790001,77.470596,14400
2007-07-30,100.830002,100.870003,100.580002,100.580002,77.309143,9700
2007-07-31,100.510002,100.809998,100.500000,100.809998,77.485977,37300
2007-08-01,100.029999,100.599998,100.029999,100.250000,77.339371,5500
2007-08-02,100.330002,100.470001,100.290001,100.440002,77.485954,4700
2007-08-03,100.519997,100.849998,100.519997,100.849998,77.802208,13400
2007-08-06,100.750000,100.919998,100.529999,100.529999,77.555389,7500
2007-08-07,100.629997,100.669998,100.389999,100.389999,77.447365,12800
2007-08-08,100.349998,100.349998,99.949997,100.230003,77.323936,13100
2007-08-09,100.650002,100.669998,100.480003,100.660004,77.655594,116100
2007-08-10,100.800003,100.800003,100.500000,100.519997,77.547653,28900
2007-08-13,100.500000,100.720001,100.480003,100.699997,77.686493,4900
2007-08-14,100.550003,101.919998,100.550003,101.919998,78.627686,6100
2007-08-15,101.099998,101.269997,100.959999,101.139999,78.025940,18400
2007-08-16,101.400002,102.070000,101.400002,101.870003,78.589180,30100
2007-08-17,101.379997,101.720001,101.379997,101.550003,78.342339,82300
2007-08-20,101.680000,101.889999,101.680000,101.760002,78.504311,8400
2007-08-21,102.150002,102.150002,101.820000,102.050003,78.728004,30900
2007-08-22,101.760002,101.879997,101.589996,101.730003,78.481125,16300
2007-08-23,101.650002,101.790001,101.540001,101.599998,78.380806,25600
2007-08-24,101.650002,101.699997,101.379997,101.529999,78.326843,7600
2007-08-27,101.629997,101.709999,101.459999,101.709999,78.465714,11500
2007-08-28,101.919998,102.300003,101.919998,102.300003,78.920837,7400
2007-08-29,102.339996,102.410004,101.949997,101.949997,78.650841,51500
2007-08-30,102.300003,102.389999,102.120003,102.330002,78.944038,10700
2007-08-31,102.050003,102.320000,101.879997,102.300003,78.920837,13200
2007-09-04,101.980003,101.980003,101.739998,101.849998,78.865906,8600
2007-09-05,102.000000,102.349998,102.000000,102.349998,79.253075,25000
2007-09-06,102.349998,102.349998,102.089996,102.099998,79.059456,60200
2007-09-07,102.449997,102.889999,102.449997,102.779999,79.586029,26400
2007-09-10,102.849998,103.139999,102.809998,103.000000,79.756371,73100
2007-09-11,102.930000,102.989998,102.739998,102.739998,79.555023,6900
2007-09-12,102.699997,102.779999,102.550003,102.669998,79.500816,16500
2007-09-13,102.410004,102.470001,102.099998,102.239998,79.167854,134400
2007-09-14,102.599998,102.599998,102.190002,102.339996,79.245270,8200
2007-09-17,102.129997,102.339996,102.129997,102.320000,79.229797,3300
2007-09-18,102.129997,102.449997,102.099998,102.449997,79.330505,6500
2007-09-19,102.410004,102.410004,102.139999,102.400002,79.291740,211500
2007-09-20,102.050003,102.169998,101.629997,101.650002,78.710968,12900
2007-09-21,101.839996,101.989998,101.739998,101.949997,78.943298,28000
2007-09-24,101.930000,102.050003,101.809998,102.040001,79.012985,19800
